Date,Close/Last,Volume,Open,High,Low
04/28/2020,31.39,96561820,34.11,34.115,31.305
04/27/2020,33.185,76180440,33.59,33.795,32.82
04/24/2020,32.55,79591780,31.27,32.7,30.605
04/23/2020,31.05,106216960,31.615,32.795,30.86
04/22/2020,31.255,68973000,30.515,31.83,30.155
04/21/2020,28.715,129872480,31.33,31.565,28.155
04/20/2020,32.285,96749380,32.595,33.755,32.23
04/17/2020,33.365,115891120,33.835,34.05,32.015
04/16/2020,32.55,140730040,31.905,33.035,30.975
04/15/2020,30.895,107921920,30.455,31.695,29.8304
04/14/2020,31.955,122512420,30.025,32.2,29.695
04/13/2020,28.285,106740080,27,28.44,26.537
04/09/2020,27.335,138324440,27.965,28.36,26.635
04/08/2020,27.235,129545040,26.3425,27.5,25.64
04/07/2020,25.6,164502400,27.95,28.145,25.5
04/06/2020,25.65,129654300,23.555,26.095,23.1821
04/03/2020,21.21,138621000,21.93,22.4911,20.4301
04/02/2020,22.1,116882740,20.6,22.17,20.385
04/01/2020,20.865,133897480,21.8,22.86,20.31
03/31/2020,23.82,182975980,24.305,25.765,23.4292
03/30/2020,24.5,104155320,22.79,24.69,22.5
03/27/2020,22.17,139285880,22.815,24.165,21.8945
03/26/2020,24.74,162309980,21.915,25,21.8336
03/25/2020,21.275,208718600,22.1,23.9175,20.54
03/24/2020,21.78,207456000,20.615,21.87,20.065
03/23/2020,17.81,205018400,17.965,19,16.135
03/20/2020,17.755,195563800,21.495,21.9,17.55
03/19/2020,20.11,201202200,19.425,22.04,18
03/18/2020,19.655,212249800,18.15,20.75,16.365
03/17/2020,21.66,190505160,19.69,22.57,17.875
03/16/2020,18.625,164572540,20.23,24.3,18.495
03/13/2020,28.42,139072680,26.12,28.6562,22.53
03/12/2020,22.38,154556480,24.75,28.75,22.2
03/11/2020,30.83,108710100,32.89,33.615,29.5
03/10/2020,35.38,114063120,33.99,35.465,30.5
03/09/2020,30.615,101741240,30.765,34.575,30.5
03/06/2020,38.42,98379760,36.365,39.04,35.5
03/05/2020,40.545,96742900,41.12,43.38,39.545
03/04/2020,44.445,78956880,41.77,44.575,40.65
03/03/2020,39.635,137031600,44.185,45.75,38.44
03/02/2020,43.755,90879660,39.635,43.87,37.985
02/28/2020,38.5,123837040,34.205,38.715,33.75
02/27/2020,37.91,106279100,41.15,43.2049,37.79
02/26/2020,44.575,85134600,44.64,46.865,43.575
02/25/2020,43.97,75198360,48.965,49.455,43.47
02/24/2020,47.84,67418520,48.14,49.79,46.815
02/21/2020,54.07,51853120,56.53,56.79,53.365
02/20/2020,57.35,56914440,58.65,58.99,55.195
02/19/2020,59.03,26406800,58.405,59.4,58.1975
02/18/2020,57.37,32783880,56.46,57.7159,56.295
02/14/2020,57.27,28492440,57.11,57.495,56.54
02/13/2020,56.885,38820580,55.895,57.55,55.69
02/12/2020,57.105,30401940,56.445,57.175,56.05
02/11/2020,55.48,48442560,56.35,56.935,55.04
02/10/2020,55.44,30812260,52.99,55.455,52.95
02/07/2020,53.51,38512960,53.49,54.405,53.06
02/06/2020,54.21,28283280,53.255,54.27,52.705
02/05/2020,52.92,43652980,54.28,54.29,51.945
02/04/2020,52.315,35062300,51,52.625,50.51
02/03/2020,48.97,43546260,47.555,49.33,47.465
01/31/2020,46.82,55096000,49.84,49.875,46.3725
01/30/2020,49.24,50062340,47.8,49.3,47.325
01/29/2020,48.69,34642780,49.3125,49.48,48.09
01/28/2020,48.515,42965520,47.325,48.835,46.99
01/27/2020,46.36,49656540,46.125,47.1725,45.09
01/24/2020,49.415,59843620,51.45,51.605,48.755
01/23/2020,50.73,35897140,50.165,50.795,49.485
01/22/2020,50.265,34037140,50.615,51.145,50.09
01/21/2020,49.925,34720520,49.515,50.255,49.48
01/17/2020,49.95,36100640,49.855,50.0686,49.13
01/16/2020,49.215,30275140,48.555,49.245,48.265
01/15/2020,47.88,33250720,47.89,48.565,47.41
01/14/2020,47.85,36679740,48.29,48.575,47.61
01/13/2020,48.415,29321660,47.365,48.44,47.155
01/10/2020,46.78,34438960,47.695,47.735,46.565
01/09/2020,47.165,36595440,47.115,47.43,46.36
01/08/2020,46.005,40062660,44.98,46.64,44.7651
01/07/2020,44.97,28765060,45.07,45.39,44.58
01/06/2020,45.025,32193560,43.135,45.04,42.9753
01/03/2020,44.185,36330060,43.645,45,43.62
01/02/2020,45.42,32858480,44.355,45.42,44.11
12/31/2019,43.275,21106480,42.65,43.38,42.4301
12/30/2019,43.03,28284680,43.865,43.93,42.4
12/27/2019,43.905,24967520,44.505,44.53,43.575
12/26/2019,44.035,16193838,43.115,44.055,43.1125
12/24/2019,42.92,9974682,42.975,43.035,42.625
12/23/2019,42.88,18138754,43.01,43.0905,42.785
12/20/2019,42.565,24920600,42.615,42.76,42.3
12/19/2019,42.065,20887700,41.33,42.09,41.33
12/18/2019,41.225,17927462,41.3225,41.64,41.17
12/17/2019,41.13,21170900,41.285,41.395,41
12/16/2019,41.075,24976800,40.71,41.285,40.68
12/13/2019,39.93,40266940,39.48,40.36,39.23
12/12/2019,39.575,46009600,38.565,40,38.41
12/11/2019,38.69,22841840,38.34,38.815,38.18
12/10/2019,38.115,28096560,38.225,38.64,37.84
12/09/2019,38.2,19560872,38.545,39.065,38.1576
12/06/2019,38.675,23256840,38.34,38.81,38.27
12/05/2019,37.515,22427160,37.71,37.715,36.9875
12/04/2019,37.32,22055680,37.345,37.5874,37.17
12/03/2019,36.775,39285540,36.15,36.815,35.555
12/02/2019,37.62,38172220,38.87,38.895,37.015
11/29/2019,38.87,13449026,39.105,39.285,38.8
11/27/2019,39.395,20641140,38.89,39.41,38.76
11/26/2019,38.615,21015780,38.455,38.7574,38.3
11/25/2019,38.385,20210320,37.56,38.41,37.55
11/22/2019,37.1,20917080,37.28,37.355,36.485
11/21/2019,37,22664840,37.16,37.225,36.675
11/20/2019,37.29,37806800,37.675,38.015,36.41
11/19/2019,37.955,28104620,38.235,38.235,37.545
11/18/2019,37.8,24247780,37.555,37.99,37.09
11/15/2019,37.605,22661840,37.555,37.67,37.23
11/14/2019,36.91,27000080,36.595,36.985,36.255
11/13/2019,36.92,28185120,36.615,37.115,36.53
11/12/2019,36.975,32172920,36.76,37.36,36.6
11/11/2019,36.675,19068094,36.285,36.73,36.124
11/08/2019,36.83,20409360,36.185,36.845,35.915
11/07/2019,36.4,31429740,36.605,37.1,36.085
11/06/2019,36.035,28832360,36.175,36.1914,35.525
11/05/2019,36.265,25807500,36.385,36.49,35.945
11/04/2019,36.22,24981680,36.305,36.485,36.06
11/01/2019,35.585,28763200,35.105,35.595,34.9425
10/31/2019,34.645,30824060,34.885,34.96,34.055
10/30/2019,34.62,29746160,34.32,34.79,33.735
10/29/2019,34.14,26757080,34.775,34.925,34.115
10/28/2019,34.945,27898920,34.43,35.085,34.43
10/25/2019,33.91,32294360,32.645,33.995,32.625
10/24/2019,33.155,31153840,32.935,33.2175,32.4825
10/23/2019,32.23,24675440,31.855,32.2542,31.7
10/22/2019,32.08,31659300,33.18,33.365,32.0378
10/21/2019,32.84,23669160,32.5145,32.91,32.215
10/18/2019,31.995,38643060,32.81,33.015,31.495
10/17/2019,32.94,30554320,33.28,33.43,32.57
10/16/2019,32.715,29659780,32.6105,32.955,32.395
10/15/2019,32.96,35448260,32.04,33.175,31.985
10/14/2019,31.755,23207080,31.625,32.055,31.53
10/11/2019,31.72,55858640,31.61,32.5,31.57
10/10/2019,30.575,45039900,29.925,30.935,29.84
10/09/2019,29.92,39235600,29.8,30.305,29.53
10/08/2019,29.04,59193980,29.82,30.24,29
10/07/2019,30.425,40796820,30.43,31.165,30.2682
10/04/2019,30.71,42712660,29.855,30.84,29.7951
10/03/2019,29.47,60358000,28.51,29.4829,27.455
10/02/2019,28.53,68012040,29.465,29.465,28.01
10/01/2019,30.07,39928780,31.16,31.675,29.91
09/30/2019,30.815,29712400,30.3,30.9599,30.14
09/27/2019,30.015,47164720,31.275,31.3262,29.3325
09/26/2019,31.145,34306320,31.365,31.43,30.43
09/25/2019,31.46,38427840,30.38,31.72,29.615
09/24/2019,30.485,51441940,32.175,32.37,30.07
09/23/2019,31.74,22950120,31.64,32.02,31.35
09/20/2019,31.71,31096860,32.88,32.975,31.37
09/19/2019,32.74,33326140,32.7625,33.3467,32.55
09/18/2019,32.595,35685300,32.43,32.635,31.375
09/17/2019,32.615,22835940,32.18,32.645,31.99
09/16/2019,32.19,24280920,31.995,32.3877,31.9
09/13/2019,32.64,26902540,32.85,33.07,32.5
09/12/2019,32.99,34982740,33.19,33.74,32.845
09/11/2019,32.585,27850160,31.875,32.645,31.665
09/10/2019,31.73,34191400,31.47,31.74,30.84
09/09/2019,31.995,28078220,32.485,32.535,31.485
09/06/2019,32.2,28759600,32.425,32.48,31.98
09/05/2019,32.29,31775420,31.61,32.5549,31.562
09/04/2019,30.6,25216020,30.19,30.685,29.96
09/03/2019,29.365,32305900,29.645,30.09,29.0555
08/30/2019,30.245,34063580,30.9595,30.9669,29.73
08/29/2019,30.46,35519640,30.21,30.7155,29.87
08/28/2019,29.135,32015460,28.555,29.285,28.1268
08/27/2019,28.845,38782060,29.625,29.78,28.5
08/26/2019,29.02,36722980,28.745,29.03,28.23
08/23/2019,27.89,75703380,30.065,30.9,27.54
08/22/2019,30.7,38307860,31.18,31.3955,29.965
08/21/2019,31,25490380,31.015,31.2962,30.6864
08/20/2019,30.23,31418220,30.705,31.025,30.205
08/19/2019,30.865,30090660,30.735,31.1199,30.485
08/16/2019,29.485,41224060,28.89,29.744,28.89
08/15/2019,28.185,52711480,28.45,28.6575,27.535
08/14/2019,28.305,76232660,29.575,29.87,28.1301
08/13/2019,31.09,60114000,29.12,31.695,28.9985
08/12/2019,29.175,53327880,29.64,29.915,28.76
08/09/2019,30.185,55341700,30.63,30.9599,29.485
08/08/2019,31.105,54763920,29.62,31.115,29.345
08/07/2019,29.175,76977240,27.805,29.315,27.15
08/06/2019,28.755,53385140,28.36,28.99,27.75
08/05/2019,27.62,75621300,28.97,28.97,26.84
08/02/2019,30.86,61730020,31.6,31.715,30.3002
08/01/2019,32.34,74596120,32.98,34.8,31.82
07/31/2019,32.8,49085140,34.515,34.575,31.85
07/30/2019,34.245,27875920,33.91,34.64,33.83
07/29/2019,34.71,28318880,34.98,34.98,34.035
07/26/2019,35.035,27869600,34.65,35.195,34.61
07/25/2019,34.025,37518720,34.67,34.675,33.82
07/24/2019,35.025,27311220,33.92,35.025,33.9
07/23/2019,34.295,29012460,34.205,34.31,33.5204
07/22/2019,33.645,23874080,33.12,33.865,33.11
07/19/2019,32.87,35194780,34.35,34.352,32.785
07/18/2019,33.685,34067000,33.045,33.8289,32.7154
07/17/2019,33.54,23126940,34.06,34.215,33.52
07/16/2019,34.045,27998000,34.425,34.54,33.72
07/15/2019,34.535,18348570,34.48,34.595,34.205
07/12/2019,34.245,22298120,33.775,34.255,33.6875
07/11/2019,33.68,31962360,33.935,34.1508,33.355
07/10/2019,33.77,38527300,33.4,34.045,33.2
07/09/2019,32.8,22148760,31.835,32.91,31.765
07/08/2019,32.315,26446760,32.395,32.4,31.91
07/05/2019,33.01,29211220,32.545,33.195,32.155
07/03/2019,33.225,16781832,32.71,33.225,32.63
07/02/2019,32.505,20312140,32.08,32.505,31.82
07/01/2019,32.115,36297540,32.65,32.775,31.695
06/28/2019,30.885,24733240,30.99,31.095,30.555
